Number|Rarity|Title|SubTitle|Cost
1|Starter|Beholder|Minion Aberration|6
2|Starter|Beholder|Apprentice Aberration|6
3|Starter|Beholder|Master Aberration|7
4|Starter|Blue Dragon|Minion Dragon|5
5|Starter|Blue Dragon|Apprentice Dragon|4
6|Starter|Blue Dragon|Master Dragon|6
7|Starter|Gelatinous Cube|Minion Ooze|3
8|Starter|Gelatinous Cube|Apprentice Ooze|3
9|Starter|Gelatinous Cube|Master Ooze|3
10|Starter|Green Dragon|Minion Dragon|4
11|Starter|Green Dragon|Apprentice Dragon|5
12|Starter|Green Dragon|Master Dragon|6
13|Starter|Halfling Thief|Minion Harper|2
14|Starter|Halfling Thief|Apprentice Emerald Enclave|3
15|Starter|Halfling Thief|Master Zhentarim|4
16|Starter|Human Paladin|Minion Order of the Gauntlet|3
17|Starter|Human Paladin|Apprentice Harper|3
18|Starter|Human Paladin|Master Lords Alliance|4
19|Starter|Troll|Minion Humaniod|4
20|Starter|Troll|Apprentice Humaniod|5
21|Starter|Troll|Master Humaniod|5
22|Starter|Vampire|Minion Undead|3
23|Starter|Vampire|Apprentice Undead|4
24|Starter|Vampire|Master Undead|4
25|Common|Beholder|Lesser Aberration|7
26|Common|Blue Dragon|Lesser Dragon|4
27|Common|Carrion Crawler|Lesser Aberration|3
28|Common|Copper Dragon|Lesser Dragon|4
29|Common|Dracolich|Lesser Undead Dragon|7
30|Common|Drow Assassin|Lesser Humanoid|3
31|Common|Dwarf Cleric|Lesser Order of the Gauntlet|3
32|Common|Elf Wizard|Lesser Harper|3
33|Common|Frost Giant|Lesser Elemental|6
34|Common|Gelatinous Cube|Lesser Ooze|4
35|Common|Green Dragon|Lesser Dragon|5
36|Common|Half-Dragon|Lesser Humanoid|4
37|Common|Half-Orc Fighter|Lesser Emerald Alliance|3
38|Common|Halfling Thief|Lesser Lords Alliance|3
39|Common|Human Paladin|Lesser Emerald Alliance|4
40|Common|Invisible Stalker|Lesser Elemental|5
41|Common|Kobold|Lesser Humanoid|1
