Number|Set|Rarity|Title|SubTitle|Type|Cost|Affiliation|Die Limit|Ability|Global|Field1|Field2|Field3|Attack1|Attack2|Attack3|Defense1|Defense2|Defense3|Burst1|Burst2|Burst3|Level 1|Level 2|Level 3|TFC
1|Avengers vs. X-Men|Starter|Beast|Big Boy Blue|Mask|2|X-Men|4|"Beast gets +1A and +1D (until the end of the turn) when he blocks. * He gets +2A and +2D instead."||0|0|1|1|2|2|2|3|4|*|||012*|023|124|1
2|Avengers vs. X-Men|Starter|Beast|Genetic Expert|Mask|2|X-Men|4|"If Beast is knocked out while blocking, you gain 1 life. * Your opponent also takes 2 damage"||0|0|1|1|2|2|2|3|4|*|||012*|023|124|1
3|Avengers vs. X-Men|Starter|Beast|Mutate #666|Mask|2|X-Men|4|"When Beast blocks, draw one die and place it in your prep area. * Instead draw 2 dice; place one in your prep area and the other in your used pile."||0|0|1|1|2|2|2|3|4|*|||012*|023|124|1
4|Avengers vs. X-Men|Starter|Captain America|American Hero|Shield|4|Avengers|4|"When fielded, you may roll a Sidekick die from your used pile (you cannot select a die that paid to field this one; place the die in your reserve pool)."||1|2|2|3|5|5|3|4|5||||133|254|255|5
5|Avengers vs. X-Men|Starter|Captain America|Natural Leader|Shield|4|Avengers|4|"While Captain America is active, your Sidekick characters get +1A and +1D (no matter how many Captain America dice you have fielded)."||1|2|2|3|5|5|3|4|5||||133|254|255|5
6|Avengers vs. X-Men|Starter|Captain America|Star-Spangled Avenger|Shield|5|Avengers|4|"When fielded, knock out each of your opponent's Sidekick characters. Gain 1 life for each Sidekick knocked out this way."||1|2|2|3|5|5|3|4|5||||133|254|255|5
7|Avengers vs. X-Men|Starter|Hulk|Anger Issues|Fist|7|Avengers|4|"While Hulk is active, when either you or Hulk takes damage, Hulk gets +2A and +2D (until the end of the turn). * Hulk gets +3A and +3D instead."||1|2|3|6|7|8|5|7|8|*|*||165*|277*|388|6
8|Avengers vs. X-Men|Starter|Hulk|Annihilator|Fist|6|Avengers|4|"While Hulk is active, when either you or Hulk takes damage, move all Hulk dice from your used pile to your prep area."||1|2|3|6|7|8|5|7|8|*|*||165*|277*|388|6
9|Avengers vs. X-Men|Starter|Hulk|Jade Giant|Fist|6|Avengers|4|"While Hulk is active, when either you or Hulk takes damage, knock out one of your opponent's level 1 characters. * Instead knock out one opposing character of any level."||1|2|3|6|7|8|5|7|8|*|*||165*|277*|388|6
10|Avengers vs. X-Men|Starter|Human Torch|"""Flame On!"""|Bolt|4|Fantastic Four|4|"While Human Torch is active, he deals 1 damage to a character or player each time you field a character (not 1 damage per die)."|Pay [Bolt] when you deal damage with an action die or global ability to deal one extra damage to one target.|0|1|2|2|3|4|2|3|4||||022|133|244|3
