Number|Set|Rarity|Title|SubTitle|Type|Cost|Affiliation|Die Limit|Ability|Global|Field1|Field2|Field3|Attack1|Attack2|Attack3|Defense1|Defense2|Defense3|Burst1|Burst2|Burst3|Level 1|Level 2|Level 3|TFC
1|Uncanny X-Men|Starter|Angel|Air Transport|Shield|3|X-Men|4|"When fielded, you may field a Sidekick die from your used pile (spin it to its character side)."||0|1|1|2|3|3|2|3|4||||022|133|134|2
2|Uncanny X-Men|Starter|Angel|Inspiring|Shield|3|X-Men|4|"When Angel attacks, your Sidekicks get +1A and +1D (no matter how many Angel dice attack)."||0|1|1|2|3|3|2|3|4||||022|133|134|2
3|Uncanny X-Men|Starter|Angel|Superhero|Shield|3|X-Men|4|"Heroic: When fielded, Angel may pair up with a different Heroic character until the start of your next turn. Once per turn while Angel is paired up, you may pay [Shield] to give Angel and his partner each +2D."||0|1|1|2|3|3|2|3|4||||022|133|134|2
4|Uncanny X-Men|Starter|Cyclops|Optic Blast|Bolt|6|X-Men|4|"When fielded, Cyclops deals 3 damage to an opposing character. Your opponent may pay 3 life to prevent this."||1|1|1|4|5|6|2|3|4||||142|153|164|3
5|Uncanny X-Men|Starter|Cyclops|Overlook|Bolt|6|X-Men|4|"When fielded, Cyclops deals 1 damage to your opponent and each opposing character."||1|1|1|4|5|6|2|3|4||||142|153|164|3
6|Uncanny X-Men|Starter|Cyclops|Superhero|Bolt|5|X-Men|4|"Heroic: When fielded, Cyclops may pair up with a different Heroic character until the start of your next turn. While Cyclops is paired up, he and his partner each deal 1 damage to the opponent when assigned to attack."||1|1|1|4|5|6|2|3|4||||142|153|164|3
7|Uncanny X-Men|Starter|Iceman|Cryokinetic|Bolt|4|X-Men|4|||1|1|1|2|3|4|4|6|8||||124|136|148|3
8|Uncanny X-Men|Starter|Iceman|Robert Louis Drake|Bolt|5|X-Men|4|You may pay [Bolt] to give Iceman +1A and +1D.||1|1|1|2|3|4|4|6|8||||124|136|148|3
9|Uncanny X-Men|Starter|Iceman|Too Cool for Words|Bolt|5|X-Men|4|"Once per turn, you may pay [Bolt] to double Iceman's attack."|"Pay [Bolt] to spin any number of your Sidekick dice to their [Bolt] side (if active, move them to your reserve pool)."|1|1|1|2|3|4|4|6|8||||124|136|148|3
10|Uncanny X-Men|Starter|Juggernaut|Archvillain|Shield|6|Villain|4|"When fielded, if your opponent has no Villains in the field, you may move one of your Sidekicks to your used pile to deal 1 damage to your opponent and gain 1 life."||1|2|3|4|7|7|3|4|6||||143|274|376|6
11|Uncanny X-Men|Starter|Juggernaut|Cain Marko|Shield|6|Villain|4|"When Juggernaut takes damage, you may move any or all of your Sidekicks to your used pile. Prevent up to 3 damage to Juggernaut per Sidekick moved."||1|2|3|4|7|7|3|4|6||||143|274|376|6
12|Uncanny X-Men|Starter|Juggernaut|Unstoppable|Shield|7|Villain|4|"Once per turn, you may move one of your Sidekicks to your used pile to give Juggernaut +4A and +4D."||1|2|3|4|7|7|3|4|6||||143|274|376|6
13|Uncanny X-Men|Starter|Kitty Pryde|Ariel|Mask|2|X-Men|4|||0|0|1|2|3|3|2|2|3||||022|032|133|1
14|Uncanny X-Men|Starter|Kitty Pryde|Sprite|Mask|3|X-Men|4|Kitty Pryde cannot be blocked by Sidekicks.||0|0|1|2|3|3|2|2|3||||022|032|133|1
15|Uncanny X-Men|Starter|Kitty Pryde|Shadowcat|Mask|4|X-Men|4|Kitty Pryde cannot be blocked on the turn she is fielded|Pay [Mask]. Target character cannot attack this turn unless its owner pays 1 life.|0|0|1|2|3|3|2|2|3||||022|032|133|1
16|Uncanny X-Men|Starter|Magneto|Field Control|Mask|6|Villain|4|"When fielded, you may pay [Mask][Mask] to move a character from the field or reserve pool to its owner's prep area."||1|2|3|4|5|6|4|7|8||||144|257|368|6
