Number|Set|Rarity|Title|SubTitle|Type|Cost|Affiliation|Die Limit|Ability|Global|Field1|Field2|Field3|Attack1|Attack2|Attack3|Defense1|Defense2|Defense3|Burst1|Burst2|Burst3|Level 1|Level 2|Level 3|TFC
1|Yu-Gi-Oh: Series 1|Starter|Blue-Eyes White Dragon|Blue Titan|Bolt|6||2|"* When this monster attacks, your opponent knocks out one of his or her monsters. ** When this monster attacks, your opponent loses life equal to the level of his or her highest-level monster."||1|2|3|6|7|8|5|6|7|*|*|**|165*|276*|387**|6
2|Yu-Gi-Oh: Series 1|Starter|Celtic Guardian|Elven Warden|Bolt|4||2|"When this monster attacks alone, it gets +2D. * Gets +1D for each other [Bolt] monster in the field. (each players')."||0|0|1|2|3|3|2|4|5|*|||022*|034|135|1
3|Yu-Gi-Oh: Series 1|Starter|Dark Magician|Friend to the Pharaoh|Mask|6||2|"When summoned, you may pay 2 life to draw and roll 2 dice."||1|2|3|5|6|7|6|6|7||*|*|156|266*|377*|6
4|Yu-Gi-Oh: Series 1|Starter|Harpie Lady|Furious Fowl|Fist|3||2|"If one or more sidekicks attack (either players'), this monster gets +1A and +1D.* When this monster attacks, up to 3 sidekicks get +1A."||1|1|2|2|3|3|3|3|4||*||123|133*|234|4
5|Yu-Gi-Oh: Series 1|Starter|Kuriboh|Cute Furball|Shield|3||2|"* During your attack step, if this monster is assigned enough damage to knock it out, your non-Kuriboh monsters do not get knocked out this turn."||0|0|1|1|2|2|2|3|4|*|||012*|023|124|1
6|Yu-Gi-Oh: Series 1|Starter|La Jinn the Mystical Genie of the Lamp|Mighty Genie|Fist|4||2|"When summoned, knock out up to two opposing sidekicks.* When this monster knocks out another monster, your opponent loses 1 life."||1|2|2|3|5|5|3|4|5|*|*||133*|254*|255|5
7|Yu-Gi-Oh: Series 1|Starter|Red-Eyes B. Dragon|Plated Body|Bolt|6||2|"While active, [Bolt] monsters cost 2 energy less for you to buy.* When summoned, move one die from your opponent's prep area into the used pile."||1|2|3|5|6|7|5|6|7|||*|155|266|377*|6
8|Yu-Gi-Oh: Series 1|Starter|Time Wizard|Time Roulette|Mask|4|Thousand Dragon Fusion|2|"When summoned, name a die and draw a die from your bag. If it matches, add it to your prep area. Otherwise, return it to your bag.* When this monster gets knocked out, you may knock out a [Fist] monster with cost 4 or less."||0|0|1|2|3|3|2|3|4|||*|022|033|134*|1
9|Yu-Gi-Oh: Series 1|Common|Baby Dragon|Juvenile Reptile|Bolt|3|Thousand Dragon Fusion|4|||0|1|1|3|3|4|1|2|3||||031|132|143|2
10|Yu-Gi-Oh: Series 1|Common|Black Luster Soldier|Ultimate Soldier|Fist|5||4|"If you attack with only [Fist] monsters, this monster gets +1A.Ritual: You may move a monster from your reserve pool to your used pile to pay this monster's summoning cost."||2|2|2|5|6|7|5|6|7||||255|266|277|6
11|Yu-Gi-Oh: Series 1|Common|Blade Knight|Lone Wolf|Fist|4||4|"When this monster attacks alone, spin an opposing monster down to level 1."||1|1|2|3|4|5|2|3|4||||132|143|254|4
